Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica D. António de Ataíde, Castanheira do Ribatejo, Vila Franca de Xira",Rua Vila de Avintes Quinta de S. José do Marco,Castanheira Do Ribatejo,2600-686,263287230,servicos@aeaataide.edu.gov.pt,172157,"Agrupamento de Escolas D. António de Ataíde, Vila Franca de Xira",Sim,4
Escola Básica n.º 4 de Vila Franca de Xira,R. da Escola,Castanheira Do Ribatejo,2600-725,263853578,eb1.valacarregado@escolas.min-edu.pt,172157,"Agrupamento de Escolas D. António de Ataíde, Vila Franca de Xira",Não,4
"Escola Básica de A-dos-Bispos, Vila Franca de Xira",Estrada de Arruda,2600-011,Vila Franca de Xira,263271564,eb1.adosbispos@escolas.min-edu.pt,171414,"Agrupamento de Escolas Professor Reynaldo dos Santos, Vila Franca de Xira",Não,4
"Escola Básica do Sobralinho, Vila Franca de Xira",Rua Ernesto dos Reis,Sobralinho,2615-664,219503197,eb1.sobralinho@escolas.min-edu.pt,170793,"Agrupamento de Escolas de Alhandra, Sobralinho e São João dos Montes, Vila Franca de Xira",Não,8
"Escola Básica da Mina, Amadora",Avenida Miguel Bombarda,nº 34,2700-582,214935537,eb1.n1.mina@escolas.min-edu.pt,171232,"Agrupamento de Escolas Cardoso Lopes, Amadora",Não,4
"Escola Básica Padre Himalaia, Damaia, Amadora",R. Catarina Eufémia,2720-094,Amadora,214901396,eb1.pehimalaia@escolas.min-edu.pt,171669,"Agrupamento de Escolas da Damaia, Amadora",Não,5
"Externato ""O Viveirinho""",Rua Movimento das Forças Armadas,nº 12 - R/C,2700-595,214932179,ext.oviveirinho@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica da Brandoa, Amadora",Largo Luis Vaz de Camões,2650-197,Amadora,214744203,eb1.sacaduracabral@escolas.min-edu.pt,171463,"Agrupamento de Escolas Fernando Namora, Amadora",Não,5
"Escola Básica Manuel Heleno, Carenque, Amadora",R. do Arco,2700-094,Amadora,214356478,eb1.n3.mina@escolas.min-edu.pt,171451,"Agrupamento de Escolas Amadora Oeste, Amadora",Não,5
Externato Nossa Senhora da Paz,Travessa do Calado,n.º 26,1170-070,218140704,ext.nsrapenhafranca@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica da Venteira, Amadora",Rua Elias Garcia 327,2700-324,Amadora,214929680,eb23.dfmanuelmelo@escolas.min-edu.pt,171451,"Agrupamento de Escolas Amadora Oeste, Amadora",Não,5
"Escola Básica Alice Leite, Alfornelos, Amadora",Largo João das Regras,2650-007,Amadora,214748298,eb1.aliceleite@escolas.min-edu.pt,170161,"Agrupamento de Escolas de Alfornelos, Amadora",Não,5
"Escola Básica Ricardo Alberty, São Brás, Amadora",Rua 17 de Setembro,2700-000,Amadora,214912180,eb1.boba@escolas.min-edu.pt,171244,"Agrupamento de Escolas Miguel Torga, Amadora",Não,4
Colégio Jardim d'Alfragide,Largo do Traquinas,Alfragide,2610-177,214714867,fraldinhastravessuras@gmail.com,n.a.,n.a.,n.a.,n.a.
"Escola Básica do Alto do Moinho, Zambujal, Amadora",Estrada do Zambujal Bairro Alto do Moinho,2700-000,Amadora,214712916,eb1ji.altomoinho@escolas.min-edu.pt,170264,"Agrupamento de Escolas Almeida Garrett, Amadora",Não,4
"Externato ""O Baloiço""",R. Correia Teles,18-B,2720-136,214953955,ext.obreboleira@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica da Terra dos Arcos, Falagueira, Amadora",Av. do Brasil,2700-129,Amadora,214956766,eb1.terraarcos@escolas.min-edu.pt,170744,"Agrupamento de Escolas Pioneiros da Aviação Portuguesa, Amadora",Não,5
"Escola Básica Artur Martinho Simões, São Brás, Amadora",R. Francisco Bugalho,2700-400,Amadora,214920730,eb1.amartinhosimoes@escolas.min-edu.pt,171244,"Agrupamento de Escolas Miguel Torga, Amadora",Não,4
"Escola Básica Sacadura Cabral, Brandoa, Amadora",Largo Luis Vaz de Camões,2650-197,Amadora,214744203,eb1.sacaduracabral@escolas.min-edu.pt,171463,"Agrupamento de Escolas Fernando Namora, Amadora",Não,5
"Escola Básica de Alfragide, Amadora",Av. D. Luís I,2610-123,Amadora,214712421,eb1.alfragide@escolas.min-edu.pt,170264,"Agrupamento de Escolas Almeida Garrett, Amadora",Não,4
"Escola Básica de Águas Livres, Damaia, Amadora",Rua dos Lusíadas,2720-214,Amadora,214747715,eb1.n2.damaia@escolas.min-edu.pt,171669,"Agrupamento de Escolas da Damaia, Amadora",Não,5
"Escola Básica Brito Pais, Amadora",Rua Catarina Eufémia,2650-341,Amadora,214929430,eb1.n2.mina@escolas.min-edu.pt,170719,"Agrupamento de Escolas José Cardoso Pires, Amadora",Não,5
"Escola Básica Gago Coutinho, Reboleira, Amadora",Av. da Aviação Portuguesa,2720-057,Amadora,214951685,eb1.gagocoutinho@escolas.min-edu.pt,170744,"Agrupamento de Escolas Pioneiros da Aviação Portuguesa, Amadora",Não,5
"Externato ""O Cisne""",Avenida Aljubarrota,nº 13 - A,2700-039,214937069,ext.ocisne@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Santos Mattos, Venda Nova, Amadora",R. Ricardo Jorge - Bairro Girassol,2700-301,Amadora,214748018,eb1.santosmattos@escolas.min-edu.pt,170161,"Agrupamento de Escolas de Alfornelos, Amadora",Não,5
"Escola Básica Condes da Lousã, Damaia, Amadora",Pctª Afonso Lopes Vieira,2720-493,Amadora,214991255,eb1.condeslousa@escolas.min-edu.pt,172182,"Agrupamento de Escolas Doutor Azevedo Neves, Amadora",Não,3
"Externato ""Aljubarrota""",Rua Pio XII,nº 14 - R/C,2700-657,214935841,ext.aljubarrota@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Maria Irene Lopes de Azevedo, Venda Nova, Amadora",Lg. António Feliciano de Castilho,2700-073,Amadora,214749293,eb1.milopesazevedo@escolas.min-edu.pt,170161,"Agrupamento de Escolas de Alfornelos, Amadora",Não,5
PaRK International School - Alfragide,Rua da Indústria,n.º 15,2610-088,213026318,all@park-is.com,n.a.,n.a.,n.a.,n.a.
Externato D. João VI,Casal do Cano,2630-299,Arruda dos Vinhos,263977390,ext.irenelisboa@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica José Ruy, Reboleira, Amadora",Av. Manuel Alpedrinha,2720-354,Amadora,214961378,eb1ji.joseruy@escolas.min-edu.pt,172182,"Agrupamento de Escolas Doutor Azevedo Neves, Amadora",Não,3
"Externato ""A Colina do Sol""",Rua Fernando Pessoa,Lote 217,2650-259,214740394,ext.acolinadosol@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Moinhos da Funcheira, Amadora",R. Vieira da Silva 7,2650-063,Amadora,214930871,eb1.n7.mina@escolas.min-edu.pt,170719,"Agrupamento de Escolas José Cardoso Pires, Amadora",Não,5
"Externato ""Roque Gameiro""",Avenida Manuel da Maia,nº 1 - A - R/C - Esq.,2720-400,214971468,ext.roquegameiro@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Externato ""Cinderela""",Rua Dr. Quirino Rosa,"nº 5,7",2720-208,214955074,ext.cinderela@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio D. Filipa,Rua dos Hospitais Civis de Lisboa,n.º 24,2720-275,214968150,cl.donafilipa@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio de Alfragide,Largo do Traquinas,Alfragide,2610-177,214714867,fraldinhastravessuras@gmail.com,n.a.,n.a.,n.a.,n.a.
"Escola Básica Artur Bual, Falagueira, Amadora",Pctª das Roiçadas,2700-715,Amadora,214920579,eb1.arturbual@escolas.min-edu.pt,172303,"Agrupamento de Escolas Mães d’Água, Amadora",Não,3
"Escola Básica Vasco Martins Rebolo, Reboleira, Amadora",Av. Conde de Oeiras,2720-127,Amadora,214951428,eb1ji.vmartinsrebolo@escolas.min-edu.pt,170744,"Agrupamento de Escolas Pioneiros da Aviação Portuguesa, Amadora",Não,5
"Escola Básica José Garcês, Casal da Mira, Amadora",Rua Cidade de Nova York,2650-014,Amadora,-,eb1ji.n2.casalmira@escolas.min-edu.pt,170719,"Agrupamento de Escolas José Cardoso Pires, Amadora",Não,5
"Escola Básica de Porto Pinheiro, Odivelas",Rua Fernando Lopes Graça,2675-557,Odivelas,-,-,171852,"Agrupamento de Escolas de Moinhos da Arroja, Odivelas",Não,4
"Escola Básica de Casal dos Apréstimos, Ramada, Odivelas",Rua Heliodoro Salgado com a Av. 25 de Abril,Ramada,2620-191,-,-,171840,"Agrupamento de Escolas Vasco Santana, Odivelas",Não,6
"Escola Básica da Quinta da Condessa, Bairro da Condessa, Odivelas",Rua Palmira Bastos - Bairro da Condessa,Pontinha,1675-627,214785243,eb1ji.quintadacondessa@escolas.min-edu.pt,171074,"Agrupamento de Escolas Braamcamp Freire - Pontinha, Odivelas",Não,10
Jardim Infantil da Quinta dos Bacelos,Estrada Casal da Coxa,n.º 18 - Quinta dos Bacelos - Alto da Agruela,2600-013,263287200,ji.abeivfrancaxira@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Jardim Infantil O Pintainho,Urbanização Codivel,Largo António Aleixo,nº10; R/c,219370855,ji.opintainhorc@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica de Alter do Chão,R. do Reguengo,7440-076,Alter do Chão,245612950,eb1.alterchao@escolas.min-edu.pt,135185,Agrupamento de Escolas de Alter do Chão,Não,3
"Escola Básica e Secundária Nossa Senhora da Luz, Arronches",Rua Dr. Edmundo Curvelo,7340-029,Arronches,245580050,servicos@luzarronches.edu.gov.pt,135197,Agrupamento de Escolas de Arronches,Sim,1
"Escola Básica Mestre de Avis, Avis",Estrada Municipal,Montes do Azinhal,Benavila,242410120,servicos@aeavis.edu.gov.pt,135203,Agrupamento de Escolas de Avis,Sim,6
"Escola Básica de Ervedal, Avis",R. das Escolas,7480-000,Avis,242465402,eb1.ervedalescolas@escolas.min-edu.pt,135203,Agrupamento de Escolas de Avis,Não,6
"Escola Básica de Benavila, Avis",Largo do Asilo,Benavila,7480-206,242434573,eb1.benavila@escolas.min-edu.pt,135203,Agrupamento de Escolas de Avis,Não,6
Escola Básica de Avis,Largo do Asilo,Benavila,7480-206,242434573,eb1.benavila@escolas.min-edu.pt,135203,Agrupamento de Escolas de Avis,Não,6
"Escola Básica de Alcôrrego, Avis",R. da Escola,Alcórrego,7480-028,242412067,eb1ji.alcorrego@escolas.min-edu.pt,135203,Agrupamento de Escolas de Avis,Não,6
"Escola Básica São João Batista, Campo Maior",Avenida General Humberto Delgado,7370-106,Campo Maior,268680190,eb2.sjoaobatista@escolas.min-edu.pt,135215,Agrupamento de Escolas de Campo Maior,Não,2
Escola Básica de Castelo de Vide,Estrada da Boavista,7320-202,Castelo de Vide,245901351,servicos@aecv.edu.gov.pt,135227,Agrupamento de Escolas de Castelo de Vide,Sim,3
"Escola Básica Ana Maria Ferreira Gordo, Crato",Tapada da Câmara-Apart. nº 28,7430-132,Crato,245990010,servicos@aecrato.edu.gov.pt,135239,Agrupamento de Escolas do Crato,Sim,1
"Escola Básica de Santa Luzia, Elvas",Av. D. Sancho Manuel,7350-098,Elvas,268639660,eb1ji.staluzia@escolas.min-edu.pt,130280,Agrupamento de Escolas n.º 2 de Elvas,Não,5
"Escola Básica de São Vicente, Elvas",R. Nova do Poente,São Vicente E Ventosa,7350-481,268611340,eb1ji.svicente@escolas.min-edu.pt,135252,Agrupamento de Escolas n.º 3 de Elvas,Não,7
"Escola Básica de Terrugem, Elvas",Ramal das Laranjeiras,Terrugem Elv,7350-491,268657354,eb1.terrugem@escolas.min-edu.pt,135252,Agrupamento de Escolas n.º 3 de Elvas,Não,7
"Escola Básica de Alcáçova, Elvas",R. dos Quarteis,7350-178,Elvas,268626287,eb1.alcacova@escolas.min-edu.pt,135240,Agrupamento de Escolas n.º 1 de Elvas,Não,6
"Escola Básica da Calçadinha, Elvas",Calcadinha,7350-466,Elvas,268626286,eb1ji.calcadinha@escolas.min-edu.pt,130280,Agrupamento de Escolas n.º 2 de Elvas,Não,5
"Escola Básica de Santa Eulália, Elvas",Av. Augusto de Andrade,24,Santa Eulália Elv,268671554,eb1ji.seaandrade24@escolas.min-edu.pt,135252,Agrupamento de Escolas n.º 3 de Elvas,Não,7
"Escola Básica da Boa Fé, Elvas",Av. da Casa do Povo,2090-025,Alpiarça,243559240,servicos@aejrelvas.edu.gov.pt,170630,"Agrupamento de Escolas José Relvas, Alpiarça",Sim,6
"Escola Básica da Raposeira, Elvas",Estrada da Raposeira,7350-408,Elvas,268626288,eb1.raposeiraelvas@escolas.min-edu.pt,135240,Agrupamento de Escolas n.º 1 de Elvas,Não,6
"Escola Básica de Barbacena, Elvas",Caminho de Vila Fernando,Barbacena,7350-431,268662196,eb1.barbacena@escolas.min-edu.pt,135252,Agrupamento de Escolas n.º 3 de Elvas,Não,7
"Escola Básica de Vila Boim, Elvas",Rossio 25 de Abril,Vila Boim,7350-501,268658131,ebiji.vboim@escolas.min-edu.pt,135252,Agrupamento de Escolas n.º 3 de Elvas,Não,7
"Escola Básica das Fontainhas, Elvas",Estacao dos Caminhos de Ferro,7350-227,Elvas,268626289,eb1ji.felvas@escolas.min-edu.pt,135240,Agrupamento de Escolas n.º 1 de Elvas,Não,6
"Escola Básica Frei Manuel Cardoso, Fronteira",Largo da Estação,7460-000,Fronteira,245600130,servicos@aefronteira.edu.gov.pt,135264,Agrupamento de Escolas de Fronteira,Sim,2
"Escola Básica de Cabeço de Vide, Fronteira",Av. da Libertação,71,Cabeço De Vide,245634263,eb1ji.cabecovide@escolas.min-edu.pt,135264,Agrupamento de Escolas de Fronteira,Não,2
"Escola Básica da Comenda, Gavião",R. D. Delfina Pequito Rebelo,Comenda,6040-041,245776330,eb1.cddpequitorebelo@escolas.min-edu.pt,135495,Agrupamento de Escolas de Gavião,Não,3
Escola Básica e Secundária de Gavião,R. 23 de Novembro,6040-121,Gavião,241639000,servicos@aegaviao.edu.gov.pt,135495,Agrupamento de Escolas de Gavião,Sim,3
"Escola Básica de Ammaia, Portagem, Marvão",R. das Escolas,São Salvador Da Aramenha,7330-328,245909180,servicos@aemarvao.edu.gov.pt,135641,Agrupamento de Escolas de Marvão,Sim,2
"Escola Básica Dr. Manuel Magro Machado, Santo António das Areias, Marvão",Bairro da Junta de Freguesia,Santo António Das Areias,7330-253,245920020,ebiji.dmmmachado@escolas.min-edu.pt,135641,Agrupamento de Escolas de Marvão,Não,2
Escola Básica n.º 1 de Monforte,Bairro Novo,7450-000,Monforte,245564105,eb1.vaiamonte@escolas.min-edu.pt,135290,"Agrupamento de Escolas João Maria Botas Carriço, Monforte",Não,6
"Escola Básica de Assumar, Monforte",R. da Estação,7450-000,Monforte,245505209,eb1.assumar@escolas.min-edu.pt,135290,"Agrupamento de Escolas João Maria Botas Carriço, Monforte",Não,6
"Escola Básica de Vaiamonte, Monforte",Bairro Novo,7450-000,Monforte,245564105,eb1.vaiamonte@escolas.min-edu.pt,135290,"Agrupamento de Escolas João Maria Botas Carriço, Monforte",Não,6
"Escola Básica de Santo Aleixo, Monforte",R. 25 de Abril,7450-000,Monforte,268939255,eb1ji.staleixo@escolas.min-edu.pt,135290,"Agrupamento de Escolas João Maria Botas Carriço, Monforte",Não,6
"Escola Básica de Foros de Arrão de Cima, Ponte de Sor",Rua de Catarina Eufémia,Foros De Arrão,7425-238,242965051,eb1ji.forosarraocima@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica n.º 1 de Montargil, Ponte de Sor",Lg. General Humberto Delgado,Montargil,7425-104,242904221,eb1.montargil@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica de Vale de Açor, Ponte de Sor",R. João de Deus,Vale De Açor,7400-550,242972384,eb1ji.valeacor@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
Jardim-Escola João de Deus de Ponte de Sor,Avenida da Liberdade,7400-217,Ponte de Sor,242094750,je.joaodeuspontesor@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica n.º 2 de Montargil, Ponte de Sor",Lg. General Humberto Delgado,Montargil,7425-104,242904221,eb1.montargil@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica de Galveias, Ponte de Sor",R. da Devesa,Galveias,7400-023,242983657,eb1ji.galveias@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
Escola Básica de Ponte de Sor,R. Manuel Nunes Marques Adegas,Longomel,7400-454,242283399,eb1ji.longomel@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica de Tramaga, Ponte de Sor",R. Principal,Tramaga,7400-604,242295569,eb1.tramaga@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica de Longomel, Ponte de Sor",R. Manuel Nunes Marques Adegas,Longomel,7400-454,242283399,eb1ji.longomel@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica João Pedro de Andrade, Ponte de Sor",Tapada do Telheiro,7400-254,Ponte de Sor,242209450,eb23.jpedroandrade@escolas.min-edu.pt,135653,Agrupamento de Escolas de Ponte de Sor,Não,12
"Escola Básica da Corredoura, Portalegre",Parque Miguel Bombarda - Jardim da Corredoura,7300-107,Portalegre,245331309,eb1.cportalegre@escolas.min-edu.pt,135318,"Agrupamento de Escolas do Bonfim, Portalegre",Não,6
"Escola Básica de Caia e Nave Longa, Portalegre",Beco da Escola,7300-561,Portalegre,245382403,eb1.caianavelonga@escolas.min-edu.pt,135320,"Agrupamento de Escolas José Régio, Portalegre",Não,7
"Escola Básica de Alegrete, Portalegre",R. do Jardim,7300-335,Alegrete,245965664,eb1.alegrete@escolas.min-edu.pt,135320,"Agrupamento de Escolas José Régio, Portalegre",Não,7
"Escola Básica de Fortios, Portalegre",R. da Boavista,7300-660,Fortios,245399218,eb1.fortios@escolas.min-edu.pt,135318,"Agrupamento de Escolas do Bonfim, Portalegre",Não,6
"Escola Básica de Monte de Carvalho, Portalegre",Monte Carvalho - Ribeira de Nisa - Portalegre,7300-430,Ribeira De Nisa,245341162,eb1.montecarvalho@escolas.min-edu.pt,135318,"Agrupamento de Escolas do Bonfim, Portalegre",Não,6
"Escola Básica de Urra, Portalegre",Av. 25 de Abril,7300-576,Portalegre,245382402,eb1ji.urra@escolas.min-edu.pt,135320,"Agrupamento de Escolas José Régio, Portalegre",Não,7
"Escola Básica de Reguengo, Portalegre",Lg. da Igreja,7300-405,Reguengo,245207657,eb1ji.reguengo@escolas.min-edu.pt,135320,"Agrupamento de Escolas José Régio, Portalegre",Não,7
"Escola Básica dos Assentos, Portalegre",Rua Dr. António Ferro,7300-000,Portalegre,245366334,eb1ji.assentos@escolas.min-edu.pt,135320,"Agrupamento de Escolas José Régio, Portalegre",Não,7
"Escola Básica da Praceta, Portalegre","Praceta de Os Lusíadas""""",7300-113,Portalegre,966518782,eb1.praceta@escolas.min-edu.pt,135318,"Agrupamento de Escolas do Bonfim, Portalegre",Não,6
"Escola Básica de Atalaião, Portalegre",Rua Pedro Castro da Silveira,7300-022,Portalegre,245331316,eb1.atalaiao@escolas.min-edu.pt,135320,"Agrupamento de Escolas José Régio, Portalegre",Não,7
"Escola Básica de Casa Branca, Sousel",Largo Dr. Mâncio Canelas,Casa Branca,7470-119,268539549,eb1ji.cbranca@escolas.min-edu.pt,135331,Agrupamento de Escolas de Sousel,Não,5
"Escola Básica de Cano, Sousel",Av. do Rancho Folclórico,Cano,7470-022,268549589,eb1ji.cano@escolas.min-edu.pt,135331,Agrupamento de Escolas de Sousel,Não,5
"Escola Básica de Santo Amaro, Sousel",R. das Escolas,Cano,7470-015,268552267,-,135331,Agrupamento de Escolas de Sousel,Não,5
"Escola Básica e Secundária Padre Joaquim Maria Fernandes, Sousel",Tapada da Portagem,7470-203,Sousel,268550010,servicos@escolasdesousel.edu.gov.pt,135331,Agrupamento de Escolas de Sousel,Sim,5
"Escola Básica Luís Van Zeller de Macedo, Amarante",Rua da Herdade,Vila Garcia Amt,4600-810,-,-,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Não,14
"Escola Básica Ilídio Sardoeira, Amarante",Rua dos Ataúdes,4600-237,Amarante,-,-,151099,"Agrupamento de Escolas Teixeira de Pascoaes, Amarante",Não,12
"Escola Básica Acácio Lino, Travanca, Amarante",Rua do Montinho,Travanca Amt,4605-453,-,-,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Não,14
"Escola Básica do Marão, Várzea, Amarante",Várzea,Várzea Amt,4600-770,255441428,eb23.marao@escolas.min-edu.pt,151099,"Agrupamento de Escolas Teixeira de Pascoaes, Amarante",Não,12
"Escola Básica Amadeo de Souza Cardoso, Telões, Amarante",Rua Comendador José de Abreu,nº 189,Telões Amt,255420110,servicos@amadeo.edu.gov.pt,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Sim,14
Colégio de S. Gonçalo de Amarante - Escola Católica,Avenida 25 de Abril,Madalena,4600-014,255432020,cl.sgoncaloamarante@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica n.º 2 de Amarante,Rua da Escola - Vila Caiz,Vila Caiz,4600-785,255739614,eb23.vcaiz@escolas.min-edu.pt,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Não,14
"Escola Básica de Igreja, Vila Caiz, Amarante",Igreja - Vila Caiz,Vila Caiz,4600-786,255739834,eb1.n1.igrejavcaiz@escolas.min-edu.pt,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Não,14
"Escola Básica de Igreja, Lomba, Amarante",Escola de Igreja - Lomba,Lomba Amt,4600-661,255437466,eb1.igrejalomba@escolas.min-edu.pt,151099,"Agrupamento de Escolas Teixeira de Pascoaes, Amarante",Não,12
"Escola Básica de Lama, Amarante",Lama,Figueiró (Santiago),4615-187,255496645,eb1.lamafigueiro@escolas.min-edu.pt,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Não,14
"Escola Básica de Torreira, Amarante",Torreira,Fregim,4600-593,255446334,eb1.torreira@escolas.min-edu.pt,152936,"Agrupamento de Escolas Amadeo de Souza Cardoso, Amarante",Não,14
Escola Básica do Sudeste de Baião,Barreiro Santa Marinha do Zezere,Santa Marinha Do Zêzere,4640-462,254880350,servicos@aesudestebaiao.edu.gov.pt,150198,Agrupamento de Escolas do Sudeste de Baião,Sim,3
"Escola Básica de Idães, Felgueiras",Lugar do Cruzeiro-Idães,Idães,4650-165,255330386,servicos@aeidaes.edu.gov.pt,151440,"Agrupamento de Escolas de Idães, Felgueiras",Sim,7
"Escola Básica n.º 1 de Airães, Felgueiras",Airães,Airães,4650-078,-,-,151439,"Agrupamento de Escolas de Airães, Felgueiras",Não,4
"Escola Básica de Macieira da Lixa, Felgueiras",Maciera da Lixa,Macieira Da Lixa,4615-410,-,-,151506,"Agrupamento de Escolas da Lixa, Felgueiras",Não,8
"Escola Básica de Pombeiro de Ribavizela, Felgueiras",Pombeiro de Ribavizela,Pombeiro De Ribavizela,4610-634,255314485,eb.pombeiro@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica de Várzea, Felgueiras",Rua de São Jorge,4610-807,Felgueiras,-,-,151520,"Agrupamento de Escolas D. Manuel de Faria e Sousa, Felgueiras",Não,7
"Escola Básica de Vila Cova da Lixa, Felgueiras",Rua Dr. António Manuel Cerqueira Magro 198,Borba De Godim,4615-594,-,-,151506,"Agrupamento de Escolas da Lixa, Felgueiras",Não,8
"Escola Básica de Santão, Felgueiras",Rua do Poder Local 124,Santão,4615-463,-,-,151506,"Agrupamento de Escolas da Lixa, Felgueiras",Não,8
