Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
Escola Básica de Anadia,Vila Nova de Monsarros,Vila Nova De Monsarros,3780-566,231516212,eb1.vnovamonsarros@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Vilarinho do Bairro, Anadia",R. S. Miguel,Vilarinho Do Bairro,3780-599,231959532,eb23.vilarinhobairro@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Vila Nova de Monsarros, Anadia",Vila Nova de Monsarros,Vila Nova De Monsarros,3780-566,231516212,eb1.vnovamonsarros@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Tamengos, Anadia",Rua das Palmeiras,Tamengos,3780-544,231516211,eb1.tamengos@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Chãozinho, Anadia",Rua Nossa Senhora do Carmo,Amoreira Da Gândara,3780-014,231596807,eb1.chaozinho@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Moita, Anadia",Rua das Escolas,3780-476,Anadia,231516279,eb1.moitaand@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
Colégio de Nossa Senhora da Assunção,R. S José de Cluny,3780-292,Anadia,231510500,cl.nsraassuncao@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Aguim, Anadia",Estrada Nacional 619-1,Aguim,3780-621,231516284,eb1.aguim@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Mogofores, Anadia",Rua do Bárrio,Mogofores,3780-453,231516270,eb1.n1.mogofores@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Poutena, Anadia",Rua Manuel Francisco Pereira,Vilarinho Do Bairro,3780-601,231959677,eb1.poutena@escolas.min-edu.pt,160910,Agrupamento de Escolas de Anadia,Não,21
"Escola Básica de Chave, Arouca",Tojal,Chave,4540-274,-,-,151622,"Agrupamento de Escolas de Escariz, Arouca",Não,5
"Escola Básica de Paço, Rossas, Arouca",Paço,Rossas,Rossas Arc,-,-,151634,Agrupamento de Escolas de Arouca,Não,10
"Escola Básica de Fermedo, Arouca",Largo da Igreja,Fermedo,4540-363,-,-,151622,"Agrupamento de Escolas de Escariz, Arouca",Não,5
"Escola Básica do Burgo, Arouca",Cimo do Burgo,Burgo,4540-204,-,-,151634,Agrupamento de Escolas de Arouca,Não,10
"Escola Básica de Canelas, Arouca",Canelas - Canelas de Baixo,4540-000,Arouca,256949225,eb1.canelasarouca@escolas.min-edu.pt,151634,Agrupamento de Escolas de Arouca,Não,10
"Escola Básica e Secundária de Escariz, Arouca",Escariz - Arouca,Escariz,4540-320,256920300,servicos@aeescariz.edu.gov.pt,151622,"Agrupamento de Escolas de Escariz, Arouca",Sim,5
"Escola Básica de Paços, Arouca",Moldes,Moldes,4540-451,256946060,eb1.pacosmoldes@escolas.min-edu.pt,151634,Agrupamento de Escolas de Arouca,Não,10
"Escola Básica de Boavista, Arouca",Santa Eulália,4540-000,Arouca,256948191,eb1.bstaeulalia@escolas.min-edu.pt,151634,Agrupamento de Escolas de Arouca,Não,10
"Escola Básica de Ponte de Telhe, Arouca",Ponte de Telhe,Moldes,4540-453,256949225,eb1.pontetelhe@escolas.min-edu.pt,151634,Agrupamento de Escolas de Arouca,Não,10
"Escola Básica de Serra da Vila, Casal, Arouca",Casal - Mansores,Mansores,4540-422,256921938,eb1.svilamansores@escolas.min-edu.pt,151622,"Agrupamento de Escolas de Escariz, Arouca",Não,5
"Escola Básica de Paço, Alvarenga, Arouca",Paço,4540-000,Arouca,256949225,eb1.pacoalvarenga@escolas.min-edu.pt,151634,Agrupamento de Escolas de Arouca,Não,10
Escola Básica n.º 1 de Arouca,Escariz - Arouca,Escariz,4540-320,256920300,servicos@aeescariz.edu.gov.pt,151622,"Agrupamento de Escolas de Escariz, Arouca",Sim,5
"Escola Básica de Leirinhas de Aradas, Aveiro",R. das Leirinhas,3810-425,Aveiro,234427096,eb1.leirinhasaradas@escolas.min-edu.pt,160015,"Agrupamento de Escolas Doutor Mário Sacramento, Aveiro",Não,7
"Escola Básica de Mamodeiro, Aveiro",R. da Escola,3810-743,Nossa Senhora De Fátima,234942350,eb1.mamodeiro@escolas.min-edu.pt,160120,"Agrupamento de Escolas de Oliveirinha, Aveiro",Não,8
"Escola Básica de Nariz, Aveiro",R. Prof Belarmino Nunes 3810,3810-581,Nariz,234752050,eb1.n1.nariz@escolas.min-edu.pt,160120,"Agrupamento de Escolas de Oliveirinha, Aveiro",Não,8
"Escola Básica de Azurva, Aveiro",Montes de Azurva,3800-732,Eixo,234933081,eb1.azurva@escolas.min-edu.pt,160131,"Agrupamento de Escolas de Eixo, Aveiro",Não,4
"Escola Básica de Esgueira, Aveiro",Rua Padre José Maria Taborda,3804-506,Aveiro,234302480,servicos@aee.edu.gov.pt,160945,"Agrupamento de Escolas de Esgueira, Aveiro",Sim,5
"Escola Básica de Quinta do Picado, Aveiro",R. do Carregueiro,3810-361,Aveiro,234942736,eb1.n1.qtpicado@escolas.min-edu.pt,160015,"Agrupamento de Escolas Doutor Mário Sacramento, Aveiro",Não,7
"Escola Básica de Presa, Santa Joana, Aveiro",Rua da Fraternidade,3810-266,Aveiro,234343284,eb1.presastajoana@escolas.min-edu.pt,160957,"Agrupamento de Escolas José Estêvão, Aveiro",Não,6
"Escola Básica de Barrocas, Aveiro",Rua dos Andoeiros,3800-100,Aveiro,234383091,eb1.barrocas@escolas.min-edu.pt,160933,Agrupamento de Escolas de Aveiro,Não,7
"Escola Básica de Quinta do Simão, Aveiro",R. da Escola,3800-304,Aveiro,234315935,eb1.qtsimao@escolas.min-edu.pt,160945,"Agrupamento de Escolas de Esgueira, Aveiro",Não,5
"Escola Básica de Póvoa do Paço, Aveiro",Rua Direita da Escola,3800-555,Aveiro,234314288,eb1.povoapaco@escolas.min-edu.pt,160039,"Agrupamento de Escolas Rio Novo do Príncipe, Cacia, Aveiro",Não,5
"Escola Básica de Areais, Aveiro",R. do Caião,3810-376,Aveiro,234314029,eb1.areais@escolas.min-edu.pt,160957,"Agrupamento de Escolas José Estêvão, Aveiro",Não,6
"Escola Básica de São Jacinto, Aveiro",R. Nª Senhora das Areias,3800-901,São Jacinto,234331046,eb1.sjacinto@escolas.min-edu.pt,160933,Agrupamento de Escolas de Aveiro,Não,7
"Escola Básica de Póvoa do Valado, Aveiro",R. das Escolas,3810-772,Nossa Senhora De Fátima,234942274,eb1.povoavalado@escolas.min-edu.pt,160120,"Agrupamento de Escolas de Oliveirinha, Aveiro",Não,8
"Escola Básica de Costa do Valado, Aveiro",R. das Paradas,3810-799,Oliveirinha,234942277,eb1.costavalado@escolas.min-edu.pt,160120,"Agrupamento de Escolas de Oliveirinha, Aveiro",Não,8
"Escola Básica de Eixo, Aveiro",Rua do Sobral,3800-879,Requeixo,234932449,eb1.requeixo@escolas.min-edu.pt,160131,"Agrupamento de Escolas de Eixo, Aveiro",Não,4
"Escola Básica n.º 2 de São Bernardo, Aveiro",R. da Cabreira,3810-071,Aveiro,234342384,eb1.sbernardo@escolas.min-edu.pt,160957,"Agrupamento de Escolas José Estêvão, Aveiro",Não,6
"Escola Básica de Solposto, Aveiro",Rua do Sol Posto (EM 584-1),3810-190,Aveiro,234342735,eb1.solposto@escolas.min-edu.pt,160957,"Agrupamento de Escolas José Estêvão, Aveiro",Não,6
"Escola Básica de Santiago, Aveiro",Rua de Santa Maria da Feira,3810-166,Aveiro,234381065,eb1.santiagogloria@escolas.min-edu.pt,160933,Agrupamento de Escolas de Aveiro,Não,7
"Escola Básica e Secundária Dr. Jaime Magalhães Lima, Esgueira, Aveiro",Rua Padre José Maria Taborda,3804-506,Aveiro,234302480,servicos@aee.edu.gov.pt,160945,"Agrupamento de Escolas de Esgueira, Aveiro",Sim,5
"Escola Básica de Cacia, Aveiro",Rua Condessa de Taboeira,3800-051,Aveiro,234912675,eb1.tabueira@escolas.min-edu.pt,160039,"Agrupamento de Escolas Rio Novo do Príncipe, Cacia, Aveiro",Não,5
"Escola Básica de Verdemilho, Aveiro",Rua Engº Basílio Tavares Lebre,3810-001,Aveiro,234420506,eb1.verdemilho@escolas.min-edu.pt,160015,"Agrupamento de Escolas Doutor Mário Sacramento, Aveiro",Não,7
"Escola Básica de Bonsucesso, Aveiro",Rua Tenente Manuel Malaquias de Oliveira,3810-391,Aveiro,234427071,eb1.n1.bonsucesso@escolas.min-edu.pt,160015,"Agrupamento de Escolas Doutor Mário Sacramento, Aveiro",Não,7
"Escola Básica n.º 1 de São Bernardo, Aveiro",R. da Cabreira,3810-071,Aveiro,234342384,eb1.sbernardo@escolas.min-edu.pt,160957,"Agrupamento de Escolas José Estêvão, Aveiro",Não,6
"Escola Básica Castro Matoso, Oliveirinha, Aveiro",Rua Profª Justa Dias,3810-867,Oliveirinha,234940180,servicos@aeo.edu.gov.pt,160120,"Agrupamento de Escolas de Oliveirinha, Aveiro",Sim,8
Colégio D. José I,R. Frei Tomé de Jesus,nº 11,3000-195,239852330,cl.sjosecoimbra@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Alumieira, Mataduços, Aveiro",R. 25 de Abril,3800-027,Aveiro,234314262,eb1.amataducos@escolas.min-edu.pt,160945,"Agrupamento de Escolas de Esgueira, Aveiro",Não,5
"Escola Básica de Vera-Cruz, Aveiro",R. 1º Visconde da Granja,3800-244,Aveiro,234427265,eb1.veracruzaveiro@escolas.min-edu.pt,160933,Agrupamento de Escolas de Aveiro,Não,7
"Escola Básica de Requeixo, Aveiro",Rua do Sobral,3800-879,Requeixo,234932449,eb1.requeixo@escolas.min-edu.pt,160131,"Agrupamento de Escolas de Eixo, Aveiro",Não,4
"Escola Básica de Quintã do Loureiro, Cacia, Aveiro",Pctª Henrique Nunes da Silva,3800-578,Cacia,234912912,eb1.qtloureiro@escolas.min-edu.pt,160039,"Agrupamento de Escolas Rio Novo do Príncipe, Cacia, Aveiro",Não,5
"Escola Básica de Sarrazola, Aveiro",Rua Manuel Simões de Miranda,3800-600,Cacia,234912790,eb1.sarrazola@escolas.min-edu.pt,160039,"Agrupamento de Escolas Rio Novo do Príncipe, Cacia, Aveiro",Não,5
"Escola Básica de Glória, Aveiro",R. Gustavo F. Pinto Basto,3810-119,Aveiro,234427020,eb1.gloriaaveiro@escolas.min-edu.pt,160933,Agrupamento de Escolas de Aveiro,Não,7
Colégio Português (ENSIGEST)- Empreendimentos Educativos Lda,Rua Nossa Srª das Necessidades,s/n Quinta do Simão,3800-317,234310324,cl.ensigest@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Taboeira, Aveiro",Rua Condessa de Taboeira,3800-051,Aveiro,234912675,eb1.tabueira@escolas.min-edu.pt,160039,"Agrupamento de Escolas Rio Novo do Príncipe, Cacia, Aveiro",Não,5
"Escola Básica de Cruz da Agra, São Martinho, Castelo de Paiva",Estrada Nacional 224,São Martinho De Sardoura,4550-828,255698140,eb1.cruzdagra@escolas.min-edu.pt,151312,Agrupamento de Escolas de Castelo de Paiva,Não,15
"Escola Básica de Adro, Real, Castelo de Paiva",Estrada Nacional 224,Real Cpv,4550-652,255698563,eb1.adroreal@escolas.min-edu.pt,151312,Agrupamento de Escolas de Castelo de Paiva,Não,15
Escola Básica e Secundária de Castelo de Paiva,Rua Strecht Vasconcelos,147 Sobrado,4550-150,255690300,servicos@aecastelo-paiva.edu.gov.pt,151312,Agrupamento de Escolas de Castelo de Paiva,Sim,15
"Escola Básica de Raiva, Castelo de Paiva",Rua da Vista Alegre,Raiva,4550-631,255762578,eb1.raiva@escolas.min-edu.pt,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",Não,7
"Escola Básica de Casal da Renda, Castelo de Paiva",Estrada Municipal 504,Paraíso,4550-459,255698742,eb1.casalrenda@escolas.min-edu.pt,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",Não,7
"Escola Básica de São Lourenço, Castelo de Paiva",Rua Manuel Carvalho Pereira,Bairros,4550-043,255689551,eb1.slourencobairros@escolas.min-edu.pt,151312,Agrupamento de Escolas de Castelo de Paiva,Não,15
"Escola Básica de Cepa, Castelo de Paiva",Estrada Nacional 502-1,Fornos Cpv,4550-360,255698949,eb1.cepa@escolas.min-edu.pt,151312,Agrupamento de Escolas de Castelo de Paiva,Não,15
"Escola Básica de Pereire, Sardoura, Castelo de Paiva",Pereire - Sardoura,Santa Maria De Sardoura,4550-758,255699853,eb1.pereire@escolas.min-edu.pt,151312,Agrupamento de Escolas de Castelo de Paiva,Não,15
"Escola Básica de Serradelo, Castelo de Paiva",Rua de São Caetano,Raiva,4550-623,255766974,eb1.serradelo@escolas.min-edu.pt,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",Não,7
"Escola Básica de Póvoa, Castelo de Paiva",Póvoa - Pedorido,Pedorido,4550-547,255766972,eb1.povoapedorido@escolas.min-edu.pt,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",Não,7
"Escola Básica de Oliveira do Arda, Castelo de Paiva",Av. Jean Tyssen,Raiva,4550-612,255766969,eb1.oliveiraarda@escolas.min-edu.pt,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",Não,7
"Escola Básica de Anta, Espinho",Rua das Escolas,4500-130,Espinho,-,-,151361,"Agrupamento de Escolas Doutor Manuel Laranjeira, Espinho",Não,4
"Escola Básica de Paramos, Espinho",Travessa dos Loureiros,4500-542,Espinho,-,-,151336,"Agrupamento de Escolas Doutor Manuel Gomes de Almeida, Espinho",Não,5
"Escola Básica de Silvalde, Espinho",Estrada Nacional 109,4500-474,Espinho,-,-,151336,"Agrupamento de Escolas Doutor Manuel Gomes de Almeida, Espinho",Não,5
Escola Básica n.º 2 de Espinho,Rua 35,4504-852,Espinho,227340580,servicos@aemalmeida.edu.gov.pt,151336,"Agrupamento de Escolas Doutor Manuel Gomes de Almeida, Espinho",Sim,5
"Escola Básica de Guetim, Espinho",Rua Luis de Camões,nº114,4500-410,227347656,ji.aldeianovaguetim@escolas.min-edu.pt,151361,"Agrupamento de Escolas Doutor Manuel Laranjeira, Espinho",Não,4
Escola Básica n.º 3 de Espinho,Rua 35,4504-852,Espinho,227340580,servicos@aemalmeida.edu.gov.pt,151336,"Agrupamento de Escolas Doutor Manuel Gomes de Almeida, Espinho",Sim,5
Colégio Mãe Galinha - Secção,Rua dos Tanoeiros,n.º 87,4500-538,918320747,geral@maegalinha.com,n.a.,n.a.,n.a.,n.a.
"Escola Básica Visconde de Salreu, Estarreja",Rua Professor Marques Lemos,3860-247,Estarreja,-,-,160155,Agrupamento de Escolas de Estarreja,Não,6
"Escola Básica de Pinheiro, Veiros, Estarreja",R. Miguel Valente Almeida Pinheiro,Veiros Etr,3860-643,234841888,eb1.pinheiroveiros@escolas.min-edu.pt,160155,Agrupamento de Escolas de Estarreja,Não,6
Jardim Escola João de Deus Estarreja,Av. do Hospital-Agra,Salreu,3865-206,234842473,-,n.a.,n.a.,n.a.,n.a.
"Escola Básica Padre Donaciano Abreu Freire, Estarreja",Rua da Arrotinha,nº14 - Apartado 25,3860-207,234840640,eb23.pdabreufreire@escolas.min-edu.pt,160155,Agrupamento de Escolas de Estarreja,Não,6
"Escola Básica de Pardilhó, Estarreja",R. Padre Garrido,Pardilhó,3860-464,234850150,servicos@aepardilho.edu.gov.pt,160519,"Agrupamento de Escolas de Pardilhó, Estarreja",Sim,1
"Escola Básica de Cabeças, Estarreja",Rua do Cruzeiro,63,Veiros Etr,234842465,eb1.cabecasveiros@escolas.min-edu.pt,160155,Agrupamento de Escolas de Estarreja,Não,6
"Escola Básica de Mosteirô, Santa Maria da Feira",Rua Dom Florentino Andrade e Silva 831,4520-000,Santa Maria da Feira,-,-,151671,"Agrupamento de Escolas Fernando Pessoa, Santa Maria da Feira",Não,15
"Escola Básica de Espargo, Santa Maria da Feira",Rua da Igreja,4520-000,Santa Maria da Feira,-,-,151671,"Agrupamento de Escolas Fernando Pessoa, Santa Maria da Feira",Não,15
"Escola Básica de São João de Vêr, Santa Maria da Feira",Rua das Caniças,São João De Ver,4520-609,-,-,151660,Agrupamento de Escolas de Santa Maria da Feira,Não,8
"Escola Básica de Cimo de Aldeia, Pigeiros, Santa Maria da Feira",Rua Bernardina Dias de Paiva,n.º 55,Argoncilhe,256911224,eb1.cimoaldeia@escolas.min-edu.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Não,13
"Escola Básica de Igreja, Escapães, Santa Maria da Feira",Largo Igreja,Escapães,4520-021,256302310,eb1.igrejaescapaes@escolas.min-edu.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Não,13
"Escola Básica de Prime, Santa Maria da Feira",Rua do Rapigo,486,Mozelos Vfr,227644172,eb1.primemozelos@escolas.min-edu.pt,150356,"Agrupamento de Escolas António Alves de Amorim, Santa Maria da Feira",Não,8
"Escola Básica de Louredo, Santa Maria da Feira",Rua Domingos Ferreira,nº 45,Louredo Vfr,-,-,151178,"Agrupamento de Escolas de Corga do Lobão, Santa Maria da Feira",Não,7
"Escola Básica de Milheirós, Santa Maria da Feira",Rua Nossa Senhora de Fátima,4520-155,Santa Maria da Feira,256373294,eb1.n1.milheiros@escolas.min-edu.pt,151671,"Agrupamento de Escolas Fernando Pessoa, Santa Maria da Feira",Não,15
"Escola Básica de Caldelas, Caldas de São Jorge, Santa Maria da Feira",Avenida do Parque Desportivo,Caldas De São Jorge,4505-686,256912029,eb1.ccaldassjorge@escolas.min-edu.pt,151350,"Agrupamento de Escolas Coelho e Castro, Santa Maria da Feira",Não,8
"Escola Básica de Fonte Seca, Santa Maria da Feira","Rua da Escola,257",São João De Ver,4520-607,256365847,eb1.fsecasjoaover@escolas.min-edu.pt,150356,"Agrupamento de Escolas António Alves de Amorim, Santa Maria da Feira",Não,8
"Escola Básica de Sobral, Santa Maria da Feira",Rua do Cedro,Lourosa,4535-000,227646273,eb1.sobralmozelos@escolas.min-edu.pt,150356,"Agrupamento de Escolas António Alves de Amorim, Santa Maria da Feira",Não,8
"Escola Básica de Outeiro, Arrifana, Santa Maria da Feira",Rua Prof. Dr. Beleza dos Santos,Arrifana Vfr,3700-443,256811761,eb1.outeiroarrifana@escolas.min-edu.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Não,13
"Escola Básica n.º 3 de Santa Maria de Lamas, Santa Maria da Feira",R. Padre Zé,nº 830,Santa Maria De Lamas,227445513,eb1.n1.stamlamas@escolas.min-edu.pt,150563,"Agrupamento de Escolas de Paços de Brandão, Santa Maria da Feira",Não,11
"Escola Básica de Póvoa, Paços de Brandão, Santa Maria da Feira",Rua dos Eucaliptos,129,Paços De Brandão,227445324,eb1.ppacosbrandao@escolas.min-edu.pt,150563,"Agrupamento de Escolas de Paços de Brandão, Santa Maria da Feira",Não,11
"Escola Básica de Igreja de São Paio de Oleiros, Santa Maria da Feira",Av. Dr. Domingos Coelho,17,São Paio De Oleiros,227443499,eb1.n1.ispaiooleiros@escolas.min-edu.pt,150563,"Agrupamento de Escolas de Paços de Brandão, Santa Maria da Feira",Não,11
"Escola Básica de Aldeia, Sanfins, Santa Maria da Feira",Rua do Monte,Nº7,Sanfins Vfr,256302305,eb1.aldeiasanfins@escolas.min-edu.pt,151660,Agrupamento de Escolas de Santa Maria da Feira,Não,8
"Escola Básica de Bairro, Arrifana, Santa Maria da Feira",R. Alexandre Ferreira Tavares,Arrifana Vfr,3700-412,256811789,eb1.arrifana@escolas.min-edu.pt,150551,"Agrupamento de Escolas de Arrifana, Santa Maria da Feira",Não,13
Escola Básica n.º 1 de Santa Maria da Feira,Av. Dr. Domingos Coelho,17,São Paio De Oleiros,227443499,eb1.n1.ispaiooleiros@escolas.min-edu.pt,150563,"Agrupamento de Escolas de Paços de Brandão, Santa Maria da Feira",Não,11
"Escola Básica de Valrico, Santa Maria da Feira",Rua 13 de Agosto,Souto Vfr,4520-715,256801610,eb1.valrico@escolas.min-edu.pt,151671,"Agrupamento de Escolas Fernando Pessoa, Santa Maria da Feira",Não,15
"Escola Básica de Fornos, Santa Maria da Feira",Largo Padre José Alves de Pinho,Fornos Vfr,4520-313,256372989,eb1.farinheiro@escolas.min-edu.pt,151660,Agrupamento de Escolas de Santa Maria da Feira,Não,8
"Escola Básica de São Domingos, Santa Maria da Feira",Rua Professora Dª Clotilde,Argoncilhe,4505-136,227647003,eb1.sdargoncilhe@escolas.min-edu.pt,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",Não,11
"Escola Básica de Aldriz, Santa Maria da Feira",R. do Teatro de Aldriz,Argoncilhe,4505-110,227440697,eb1.n1.aldriz@escolas.min-edu.pt,151282,"Agrupamento de Escolas de Argoncilhe, Santa Maria da Feira",Não,11
